Vertex         ,Longitude (dd) ,Latitude (dd)  ,Z (Meters)     
201,107.7139018,33.6486586,0
202,107.7139371,33.6486519,0
203,107.7140152,33.6486371,0
204,107.7141938,33.6485789,0
205,107.7143674,33.6485223,0
206,107.7146457,33.6484317,0
207,107.7146954,33.6484235,0
208,107.7147388,33.6484163,0
209,107.7149092,33.6483882,0
210,107.7151562,33.6483475,0
211,107.7152083,33.6483389,0
212,107.7155761,33.6481861,0
213,107.7156401,33.6481596,0
214,107.7159202,33.6480433,0
215,107.7162894,33.6478899,0
216,107.7163186,33.647863,0
217,107.7163929,33.6477944,0
218,107.7165413,33.6476576,0
219,107.7167079,33.647504,0
220,107.7167802,33.6474373,0
221,107.7168082,33.6474114,0
222,107.7168791,33.6473525,0
223,107.7170112,33.6472426,0
224,107.7171568,33.6470857,0
225,107.7173159,33.6469141,0
226,107.7180993,33.6465019,0
227,107.7182059,33.6464459,0
228,107.7195683,33.6459035,0
229,107.7200515,33.6457632,0
230,107.7202437,33.6457075,0
231,107.7203983,33.6456938,0
232,107.7204848,33.6456861,0
233,107.7207612,33.6456616,0
234,107.7209693,33.64566,0
235,107.7210135,33.6456443,0
236,107.7210424,33.645634,0
237,107.7210512,33.6455975,0
238,107.7210766,33.645493,0
239,107.7213113,33.6449966,0
240,107.7214276,33.6447508,0
241,107.7214671,33.6446041,0
242,107.7214991,33.6444849,0
243,107.7215869,33.6441586,0
244,107.7216065,33.6440319,0
245,107.7216199,33.6439458,0
246,107.7217132,33.6433425,0
247,107.7217502,33.6431677,0
248,107.7217589,33.6431263,0
249,107.7217694,33.6431031,0
250,107.7217934,33.6430499,0
251,107.7217948,33.643047,0
252,107.721855,33.6429137,0
253,107.7219628,33.6426753,0
254,107.7220264,33.6425753,0
255,107.7221749,33.6423417,0
256,107.7222478,33.6422269,0
257,107.7225957,33.6416797,0
258,107.7227128,33.6411909,0
259,107.7227706,33.6409495,0
260,107.7227781,33.6409183,0
261,107.7227909,33.640868,0
262,107.7228649,33.6405778,0
263,107.7229498,33.6402449,0
264,107.7230514,33.6398467,0
265,107.723302,33.6388221,0
266,107.7233147,33.63838,0
267,107.7233252,33.6378814,0
268,107.7233273,33.6377828,0
269,107.723328,33.6377499,0
270,107.723297,33.6375741,0
271,107.7232847,33.6375045,0
272,107.7231992,33.6370186,0
273,107.7231954,33.6369972,0
274,107.7231957,33.6369029,0
275,107.7231964,33.6367056,0
276,107.7233661,33.6363674,0
277,107.7233836,33.6363397,0
278,107.7237391,33.6357757,0
279,107.7237823,33.6357238,0
280,107.7240176,33.6354418,0
281,107.7240367,33.6354189,0
282,107.7241228,33.6353157,0
283,107.7242186,33.6352207,0
284,107.7243237,33.6351164,0
285,107.7250027,33.6344429,0
286,107.725281,33.634002,0
287,107.7253643,33.63387,0
288,107.7256477,33.6333492,0
289,107.7258959,33.632893,0
290,107.7260902,33.6326412,0
291,107.7261677,33.6325408,0
292,107.7263813,33.6322639,0
293,107.7264902,33.632116,0
294,107.7267201,33.6318038,0
295,107.7268794,33.6315495,0
296,107.7269406,33.6314519,0
297,107.7270026,33.631353,0
298,107.727072,33.6311235,0
299,107.727139,33.6309018,0
300,107.7271723,33.6306393,0
301,107.7271986,33.6304318,0
302,107.7272081,33.6303565,0
303,107.7272788,33.6301897,0
304,107.7272806,33.6301855,0
305,107.7273192,33.6300944,0
306,107.727412,33.6298754,0
307,107.7274834,33.6297223,0
308,107.7275092,33.6296669,0
309,107.7276187,33.6294323,0
310,107.7276837,33.6292928,0
311,107.7278224,33.6290409,0
312,107.7278871,33.6289231,0
313,107.7280456,33.6286352,0
314,107.7281654,33.6284119,0
315,107.7282261,33.6282989,0
316,107.7282987,33.6281636,0
317,107.728464,33.6278555,0
318,107.7288375,33.6270663,0
319,107.7292781,33.6263994,0
320,107.7293865,33.6262245,0
321,107.7294913,33.6260555,0
322,107.729573,33.6259236,0
323,107.7296623,33.6257795,0
324,107.7300104,33.6253346,0
325,107.7300414,33.625295,0
326,107.7301251,33.625188,0
327,107.7302695,33.6250918,0
328,107.7307447,33.6247755,0
329,107.7310719,33.6244094,0
330,107.7311841,33.6241919,0
331,107.7312416,33.6240806,0
332,107.7313554,33.6236294,0
333,107.7313236,33.6230179,0
334,107.7312671,33.6228184,0
335,107.7311763,33.6224974,0
336,107.7311345,33.6223497,0
337,107.730474,33.6210622,0
338,107.7300282,33.6201935,0
339,107.7299401,33.6200385,0
340,107.7297894,33.6197733,0
341,107.7296481,33.6195249,0
342,107.7295796,33.6194492,0
343,107.7294688,33.619327,0
344,107.7294181,33.6192657,0
345,107.729413,33.6192595,0
346,107.7293025,33.619126,0
347,107.7290321,33.6187993,0
348,107.7287605,33.6183508,0
349,107.7287413,33.618319,0
350,107.7287194,33.6182519,0
351,107.7285297,33.6176696,0
352,107.7285185,33.6175859,0
353,107.7284671,33.6172035,0
354,107.7283869,33.6166064,0
355,107.7283862,33.6165317,0
356,107.7283827,33.6161829,0
357,107.7283784,33.6157505,0
358,107.7283745,33.6156907,0
359,107.728365,33.6155457,0
360,107.7283569,33.6154213,0
361,107.7283221,33.6153035,0
362,107.7283124,33.6152707,0
363,107.7282827,33.6151218,0
364,107.7282017,33.6147155,0
365,107.7281987,33.6147028,0
366,107.7281444,33.6144702,0
367,107.7279466,33.6136239,0
368,107.7278543,33.6130197,0
369,107.7278475,33.6129748,0
370,107.7278594,33.612749,0
371,107.7279011,33.6126657,0
372,107.7279933,33.6124811,0
373,107.7281083,33.6122511,0
374,107.728448,33.6114524,0
375,107.7285413,33.611225,0
376,107.7286661,33.6109206,0
377,107.728766,33.6106771,0
378,107.7288219,33.6105409,0
379,107.7288345,33.6104723,0
380,107.7288389,33.6104486,0
381,107.7288438,33.6104219,0
382,107.728879,33.6102306,0
383,107.7288797,33.6100049,0
384,107.7287235,33.6097572,0
385,107.7287044,33.609727,0
386,107.7286896,33.6097035,0
387,107.7282194,33.6090817,0
388,107.7281529,33.60879,0
389,107.7281531,33.6087111,0
390,107.7281537,33.6085455,0
391,107.7283588,33.607643,0
392,107.728823,33.6065906,0
393,107.7290004,33.6062871,0
394,107.7291928,33.6059578,0
395,107.7293255,33.6057308,0
396,107.7293654,33.6056625,0
397,107.729396,33.6056065,0
398,107.7294965,33.6054223,0
399,107.7295512,33.6053221,0
400,107.7295915,33.6052481,0
401,107.7297498,33.604958,0
402,107.7298099,33.6047528,0
403,107.7298163,33.6047311,0
404,107.7298407,33.6046478,0
405,107.7298413,33.6044409,0
406,107.7298379,33.6044225,0
407,107.7298304,33.6043829,0
408,107.7298245,33.6043523,0
409,107.7298198,33.6043274,0
410,107.7297861,33.6041492,0
411,107.7295741,33.603933,0
412,107.7294981,33.6038555,0
413,107.7294867,33.6038439,0
414,107.7294163,33.6037721,0
415,107.7293703,33.6036635,0
416,107.7293551,33.6036275,0
417,107.7293394,33.6035906,0
418,107.7293047,33.6035085,0
419,107.7292575,33.6032673,0
420,107.729183,33.6028875,0
421,107.729092,33.6024799,0
422,107.7290778,33.6024165,0
423,107.7290611,33.6023417,0
424,107.7290731,33.6020878,0
425,107.7291295,33.6020277,0
426,107.7292405,33.6019091,0
427,107.7295355,33.6015941,0
428,107.7297502,33.6012183,0
429,107.7298393,33.6009461,0
430,107.7298978,33.6007672,0
431,107.7299546,33.6005399,0
432,107.7300117,33.6003113,0
433,107.7300457,33.600175,0
434,107.7300826,33.5995718,0
435,107.7300891,33.5994656,0
436,107.7300958,33.5993556,0
437,107.7301049,33.5992064,0
438,107.7301257,33.5991365,0
439,107.7301462,33.5990673,0
440,107.730264,33.5986706,0
441,107.7304705,33.5982091,0
442,107.7305092,33.5981225,0
443,107.7305582,33.5980128,0
444,107.7305814,33.5977872,0
445,107.7305055,33.5975949,0
446,107.7304811,33.597533,0
447,107.730235,33.5971468,0
448,107.7302111,33.5971148,0
449,107.7301864,33.5970819,0
450,107.7301753,33.597067,0
451,107.7300447,33.5968925,0
452,107.7299496,33.5965631,0
453,107.7299224,33.596469,0
454,107.7299232,33.5964549,0
455,107.7299462,33.5960458,0
456,107.7300386,33.5958674,0
457,107.7303306,33.5953036,0
458,107.7305267,33.5947082,0
459,107.730637,33.5943731,0
460,107.7306554,33.5943052,0
461,107.7306781,33.5942214,0
462,107.7307395,33.5939948,0
463,107.7307848,33.5938279,0
464,107.7307851,33.5937184,0
465,107.7307862,33.5933859,0
466,107.7306895,33.5927643,0
467,107.7306383,33.5924357,0
468,107.7305768,33.5920404,0
469,107.7305001,33.5914289,0
470,107.7305012,33.5913965,0
471,107.7305022,33.591368,0
472,107.730503,33.5913461,0
473,107.7305124,33.5910809,0
474,107.7306262,33.5906015,0
475,107.7306072,33.5903763,0
476,107.7306054,33.5903558,0
477,107.7305937,33.5902177,0
478,107.7305188,33.5898059,0
479,107.7304722,33.5895496,0
480,107.7303895,33.5892026,0
481,107.7303007,33.5888297,0
482,107.7302503,33.588618,0
483,107.7301613,33.5884283,0
484,107.7301494,33.588403,0
485,107.7301191,33.5883385,0
486,107.7300382,33.5881661,0
487,107.7300205,33.5881416,0
488,107.7299245,33.5880085,0
489,107.729848,33.5879023,0
490,107.7298461,33.587861,0
491,107.7298422,33.5877729,0
492,107.7298375,33.5876671,0
493,107.7298429,33.5875292,0
494,107.729843,33.587527,0
495,107.7298475,33.5874123,0
496,107.7298497,33.5873568,0
497,107.72991,33.5872165,0
498,107.7299603,33.5870996,0
499,107.7300016,33.5869497,0
500,107.7300169,33.5868928,0
501,107.7300538,33.5867553,0
502,107.7300607,33.5865062,0
503,107.7300665,33.5862944,0
504,107.7300379,33.5860989,0
505,107.7300256,33.5860146,0
506,107.7300005,33.5858428,0
507,107.7299269,33.5857588,0
508,107.729907,33.5857361,0
509,107.7298933,33.5857204,0
510,107.7298437,33.5856638,0
511,107.7286774,33.5849107,0
512,107.7285802,33.5847828,0
513,107.7284983,33.5846751,0
514,107.7284501,33.5846227,0
515,107.7283079,33.5844678,0
516,107.7282931,33.5844584,0
517,107.7281265,33.584352,0
518,107.7279827,33.5842602,0
519,107.7276075,33.5841045,0
520,107.7273921,33.5840151,0
521,107.7273216,33.5839859,0
522,107.7272315,33.5839485,0
523,107.7272315,33.5839484,0
524,107.7272307,33.5839481,0
525,107.7271228,33.5838815,0
526,107.7270949,33.5838643,0
527,107.7268943,33.5837405,0
528,107.7268298,33.5836482,0
529,107.7268171,33.58363,0
530,107.7267824,33.5835803,0
531,107.7267656,33.5835323,0
532,107.7267462,33.5834772,0
533,107.7266933,33.5833262,0
534,107.7266202,33.5832074,0
535,107.7266126,33.5831951,0
536,107.7265928,33.5831629,0
537,107.7265368,33.5830719,0
538,107.7264393,33.5829973,0
539,107.7263725,33.5829462,0
540,107.7261668,33.5827889,0
541,107.7260938,33.5827193,0
542,107.7259107,33.5825447,0
543,107.7258307,33.5824684,0
544,107.7256118,33.582338,0
545,107.7253709,33.5821946,0
546,107.7249369,33.5819781,0
547,107.7249318,33.5819755,0
548,107.7247703,33.5818949,0
549,107.7244621,33.5817411,0
550,107.7240471,33.5815239,0
551,107.724047,33.5815239,0
552,107.7239442,33.5814806,0
553,107.7239161,33.5814687,0
554,107.7238458,33.5814391,0
555,107.723845,33.5814388,0
556,107.7238069,33.5813899,0
557,107.7235876,33.581109,0
558,107.7234183,33.5808118,0
559,107.7233953,33.5807713,0
560,107.7233194,33.5806381,0
561,107.7233034,33.5804535,0
562,107.7232866,33.5802603,0
563,107.7232761,33.5801395,0
564,107.7232607,33.5800796,0
565,107.7232291,33.5799556,0
566,107.7231648,33.5797041,0
567,107.7231318,33.5795749,0
568,107.7229743,33.5793165,0
569,107.7228989,33.5791929,0
570,107.7227517,33.5789514,0
571,107.7223717,33.5783204,0
572,107.7223145,33.5782622,0
573,107.7222784,33.5782255,0
574,107.7218341,33.5777736,0
575,107.7216633,33.577522,0
576,107.7216535,33.5775074,0
577,107.7216104,33.5774439,0
578,107.7215239,33.5773018,0
579,107.7215072,33.5772744,0
580,107.7215024,33.5772664,0
581,107.7213868,33.5770766,0
582,107.7212756,33.576719,0
583,107.7212764,33.5764687,0
584,107.7212767,33.576371,0
585,107.7213546,33.5761557,0
586,107.7214468,33.5759011,0
587,107.7216169,33.5754312,0
588,107.7217868,33.5749895,0
589,107.7218183,33.5749268,0
590,107.7219565,33.5746513,0
591,107.7221031,33.5745598,0
592,107.7221566,33.5745263,0
593,107.7221816,33.5745107,0
594,107.7223456,33.5744737,0
595,107.7223745,33.5744672,0
596,107.7224012,33.5744611,0
597,107.7226764,33.574399,0
598,107.7227767,33.5743838,0
599,107.7234768,33.5742782,0
600,107.7235982,33.5742599,0
601,107.7237233,33.5742303,0
602,107.7239093,33.5741863,0
603,107.7239918,33.5741668,0
604,107.7241033,33.5741141,0
605,107.7242757,33.5740327,0
606,107.7244081,33.5739702,0
607,107.7244846,33.5738994,0
608,107.724611,33.5737825,0
609,107.7246608,33.5736139,0
610,107.7246981,33.5734876,0
611,107.7247359,33.5733595,0
612,107.724784,33.5729294,0
613,107.7248863,33.5720149,0
614,107.7248927,33.5718045,0
615,107.7249011,33.5715303,0
616,107.7249113,33.5711967,0
617,107.7248696,33.5701714,0
618,107.7247578,33.5696002,0
619,107.7247259,33.5694374,0
620,107.7247105,33.5692334,0
621,107.7246959,33.5690397,0
622,107.724672,33.5687225,0
623,107.7246758,33.5685419,0
624,107.7246813,33.5682861,0
625,107.7246852,33.5681017,0
626,107.7247178,33.5679671,0
627,107.7248218,33.5675377,0
628,107.7248569,33.567297,0
629,107.7249137,33.5669078,0
630,107.7249505,33.566686,0
631,107.7249768,33.5665277,0
632,107.7249824,33.5664941,0
633,107.7249716,33.5664254,0
634,107.7249587,33.5663434,0
635,107.7249274,33.5661441,0
636,107.7248248,33.565931,0
637,107.7248182,33.5659174,0
638,107.7247823,33.5658428,0
639,107.7246629,33.5657297,0
640,107.7245134,33.5655882,0
641,107.7244984,33.5655572,0
642,107.7244804,33.5655201,0
643,107.724413,33.5653811,0
644,107.7243914,33.5651638,0
645,107.7243859,33.5651078,0
646,107.7243803,33.5650518,0
647,107.724371,33.564431,0
648,107.7242934,33.564111,0
649,107.7242232,33.5639499,0
650,107.7240146,33.5634709,0
651,107.7237296,33.5630444,0
652,107.7236054,33.5628585,0
653,107.7232542,33.562333,0
654,107.722852,33.5616267,0
655,107.7227635,33.5615759,0
656,107.7225717,33.5614661,0
657,107.7224142,33.5613241,0
658,107.7223773,33.5612908,0
659,107.7223191,33.5612383,0
660,107.722258,33.5611833,0
661,107.721956,33.5607781,0
662,107.7216663,33.5600439,0
663,107.7215462,33.5598668,0
664,107.7213084,33.5595163,0
665,107.7209843,33.5590171,0
666,107.72087,33.558672,0
667,107.7207706,33.5583716,0
668,107.7207506,33.5583112,0
669,107.720693,33.5579672,0
670,107.720662,33.5577817,0
671,107.7206404,33.5576525,0
672,107.7206295,33.5575097,0
673,107.7205973,33.5570881,0
674,107.720599,33.5565614,0
675,107.7206004,33.5561194,0
676,107.7205437,33.5557611,0
677,107.7205006,33.5554884,0
678,107.7204353,33.555075,0
679,107.720325,33.5546484,0
680,107.7202732,33.5544481,0
681,107.7201579,33.5540021,0
682,107.7196949,33.5527724,0
683,107.7196437,33.5526364,0
684,107.7196121,33.5525524,0
685,107.7194224,33.552157,0
686,107.7194007,33.5519218,0
687,107.7195103,33.5518198,0
688,107.7195922,33.5517435,0
689,107.7197168,33.5517262,0
690,107.7202577,33.5516511,0
691,107.7205925,33.5516047,0
692,107.7220422,33.551401,0
693,107.722672,33.5511673,0
694,107.7229986,33.5509141,0
695,107.7235682,33.5503323,0
696,107.7235959,33.550304,0
697,107.7237091,33.5501858,0
698,107.7241707,33.5497034,0
699,107.7242916,33.5494749,0
700,107.7243879,33.549293,0
701,107.7244193,33.5492336,0
702,107.7245553,33.5488577,0
703,107.7245461,33.5487928,0
704,107.7244989,33.5484583,0
705,107.7244785,33.5483142,0
706,107.7243905,33.5476911,0
707,107.7242296,33.5469733,0
708,107.7242115,33.5468925,0
709,107.7241247,33.5465054,0
710,107.7240197,33.5461316,0
711,107.7239908,33.5460288,0
712,107.723847,33.5455172,0
713,107.7238113,33.5453553,0
714,107.7236145,33.5444632,0
715,107.7234144,33.5438138,0
716,107.723303,33.5434907,0
717,107.7231907,33.543165,0
718,107.7231028,33.5429102,0
719,107.7229015,33.5426276,0
720,107.7228227,33.5425248,0
721,107.7224317,33.5420151,0
722,107.7224078,33.5419892,0
723,107.7222752,33.5418457,0
724,107.7218382,33.5416286,0
725,107.7218378,33.5416283,0
726,107.7218376,33.5416282,0
727,107.7217375,33.5415439,0
728,107.7217114,33.5415219,0
729,107.7216733,33.5414898,0
730,107.7216584,33.5414773,0
731,107.721641,33.5414534,0
732,107.7215837,33.5413746,0
733,107.7214966,33.5412549,0
734,107.7214459,33.5411852,0
735,107.7213768,33.5410461,0
736,107.7213361,33.5409643,0
737,107.721317,33.5409258,0
738,107.7213009,33.5408933,0
739,107.7212856,33.5408352,0
740,107.7212739,33.5407904,0
741,107.7212121,33.5405545,0
742,107.7211335,33.540428,0
743,107.7211259,33.5404159,0
744,107.7210892,33.5403568,0
745,107.7210714,33.5403377,0
746,107.7210024,33.5402638,0
747,107.7208835,33.5401363,0
748,107.7208429,33.5400928,0
749,107.7206321,33.5398097,0
750,107.7205736,33.5397312,0
751,107.7204851,33.5396123,0
752,107.7204351,33.5395693,0
753,107.7202248,33.5393881,0
754,107.7200146,33.5392068,0
755,107.7198103,33.539013,0
756,107.7196092,33.5388221,0
757,107.7193092,33.5385375,0
758,107.7191525,33.5383678,0
759,107.7191084,33.5381232,0
760,107.7191042,33.538091,0
761,107.7190973,33.5380374,0
762,107.7190897,33.5379787,0
763,107.7190864,33.5379538,0
764,107.719076,33.5378402,0
765,107.7190733,33.5378116,0
766,107.7190647,33.5377186,0
767,107.7190319,33.5376716,0
768,107.7190006,33.5376267,0
769,107.7189529,33.5375585,0
770,107.7187181,33.537389,0
771,107.7187176,33.5373886,0
772,107.7182664,33.5367717,0
773,107.7182393,33.5367347,0
774,107.718125,33.5365784,0
775,107.7176945,33.5362032,0
776,107.7174866,33.536022,0
777,107.717371,33.5358643,0
778,107.7172518,33.5357017,0
779,107.7171592,33.5355325,0
780,107.7171178,33.5354568,0
781,107.7170433,33.5353311,0
782,107.7169279,33.5351366,0
783,107.7168265,33.5349297,0
784,107.7167941,33.5348636,0
785,107.7167796,33.5347686,0
786,107.7167788,33.5347634,0
787,107.7167611,33.5346472,0
788,107.7167616,33.5344873,0
789,107.716974,33.5340228,0
790,107.7170104,33.533943,0
791,107.7170405,33.5338771,0
792,107.7171009,33.533745,0
793,107.7173265,33.5334539,0
794,107.717467,33.5333058,0
795,107.7175891,33.5331769,0
796,107.7176646,33.5330973,0
797,107.7178417,33.5329972,0
798,107.7178727,33.5329797,0
799,107.7179796,33.5329193,0
800,107.7180736,33.5328386,0
801,107.7181443,33.5327779,0
802,107.71834,33.5326097,0
803,107.7186441,33.5323377,0
804,107.7187169,33.5322395,0
805,107.7189713,33.5318964,0
806,107.7190198,33.5317555,0
807,107.71913,33.5314358,0
808,107.7192881,33.531154,0
809,107.7193612,33.5310896,0
810,107.7194796,33.5309852,0
811,107.7196899,33.5308439,0
812,107.7197329,33.5308151,0
813,107.7198285,33.5307508,0
814,107.7198859,33.5306653,0
815,107.720031,33.5304489,0
816,107.7200993,33.530347,0
817,107.7201668,33.530179,0
818,107.7201698,33.5301717,0
819,107.7203711,33.5296704,0
820,107.7204027,33.5295956,0
821,107.72058,33.5291761,0
822,107.7206027,33.5291225,0
823,107.7207445,33.5287871,0
824,107.7207577,33.5287481,0
825,107.7208488,33.528479,0
826,107.7209259,33.5282514,0
827,107.7209501,33.5281437,0
828,107.7209829,33.5279976,0
829,107.7209837,33.5277436,0
830,107.7209498,33.5273973,0
831,107.7209293,33.5271886,0
832,107.7208504,33.5267038,0
833,107.7208366,33.5266188,0
834,107.7206981,33.5257678,0
835,107.7205778,33.5254794,0
836,107.7204195,33.5250994,0
837,107.7201742,33.5245533,0
838,107.72013,33.5243275,0
839,107.7201324,33.5242963,0
840,107.7201338,33.524278,0
841,107.7201493,33.5240797,0
842,107.7201534,33.5240266,0
843,107.7201915,33.5239238,0
844,107.72038,33.5234157,0
845,107.7204681,33.5232465,0
846,107.7204937,33.5231976,0
847,107.7206737,33.522852,0
848,107.7207434,33.5227477,0
849,107.7207803,33.5226923,0
850,107.7208174,33.5226369,0
851,107.7209558,33.5224294,0
852,107.7211799,33.522222,0
853,107.7212422,33.5221643,0
854,107.7213494,33.5220651,0
855,107.7213613,33.5220541,0
856,107.7214967,33.5218475,0
857,107.7215353,33.5216882,0
858,107.7215386,33.5216743,0
859,107.7215422,33.5216595,0
860,107.7215812,33.5213829,0
861,107.7216112,33.5211706,0
862,107.7217037,33.5205749,0
863,107.7217712,33.5202868,0
864,107.7218008,33.5202315,0
865,107.7218682,33.5201054,0
866,107.7219067,33.5200332,0
867,107.7219972,33.519864,0
868,107.7220602,33.5198007,0
869,107.7222085,33.5196517,0
870,107.7222487,33.5196114,0
871,107.722276,33.519584,0
872,107.7223802,33.5194793,0
873,107.7223864,33.519473,0
874,107.7225513,33.5193067,0
875,107.7225942,33.5192634,0
876,107.7226175,33.519203,0
877,107.7226183,33.5192011,0
878,107.7226285,33.5191745,0
